timestamp,open,high,low,close,volume
1677646800000,0.75,1.49,0.75,0.95,19420
1677733200000,0.800001,0.9399,0.800001,0.9,10641
1677819600000,0.9299,1.11,0.925,0.95,117476
1678078800000,1.0,1.0,0.936,0.974511,12066
1678165200000,0.9361,0.938,0.8,0.8,11206
1678251600000,0.8399,0.8399,0.8,0.8,12649
1678338000000,0.83,0.83,0.73,0.73,6228
1678424400000,0.75,0.75,0.63,0.6499,30809
1678680000000,0.75,0.75,0.6,0.6964,6874
1678766400000,0.7156,0.7816,0.7156,0.7763,38031
1678852800000,0.77,0.77,0.7,0.77,84249
1678939200000,0.769899,0.77,0.7001,0.77,12714
1679025600000,0.740201,0.7552,0.74,0.74,20487
1679284800000,0.72,0.77,0.72,0.769899,19618
1679371200000,0.7601,0.783703,0.76,0.783703,5864
1679457600000,0.76,0.76,0.76,0.76,440
1679544000000,0.6126,0.79,0.6125,0.79,1808
1679976000000,0.75,0.75,0.73,0.75,1940
1680062400000,0.72,0.72,0.7,0.7,1900
1680148800000,0.6434,0.649799,0.5964,0.6132,27916
1680235200000,0.61,0.64,0.6,0.6336,6987
1680494400000,0.6336,0.6624,0.6137,0.6336,20300
1680580800000,0.6137,0.6137,0.6137,0.6137,210
1680667200000,0.6399,0.7399,0.6351,0.7399,19093
1680753600000,0.740001,0.740001,0.740001,0.740001,300
1681099200000,0.7953,0.8,0.680001,0.680001,24081
1681185600000,0.78,0.78,0.707399,0.7128,7603
1681358400000,0.6602,0.725,0.6,0.7211,179455
1681444800000,0.7127,0.7199,0.700001,0.7198,4798
1681790400000,0.64,0.7201,0.63,0.7201,2400
1681876800000,0.7325,0.7399,0.7052,0.71,8900
1681963200000,0.72,0.7399,0.7,0.72,7270
1682308800000,0.7,0.7,0.693,0.7,3200
1682395200000,0.693,0.7244,0.693,0.7171,2100
1682481600000,0.739799,0.7399,0.6899,0.6899,3304
1682568000000,0.7226,0.7399,0.6852,0.689801,31389
1682654400000,0.693,0.712201,0.693,0.712201,3101
1682913600000,0.7038,0.71,0.7,0.7,4000
1683000000000,0.76,0.76,0.7128,0.7128,1095
1683259200000,0.6279,0.7199,0.53,0.7127,7306
1683518400000,0.7128,0.72,0.7128,0.719603,7400
1683691200000,0.7001,0.7001,0.7001,0.7001,164
1683777600000,0.7622,0.7674,0.7597,0.7597,490
1684123200000,0.583,0.7668,0.583,0.7203,3948
1684296000000,0.7343,0.7598,0.7003,0.7403,3763
1684728000000,0.74,0.7401,0.74,0.7401,430
1685073600000,0.6595,0.78,0.6595,0.78,792
1685592000000,0.7896,0.7896,0.7801,0.7801,1022
1686110400000,0.7975,0.7975,0.7975,0.7975,1400
1686196800000,0.7115,0.7115,0.7066,0.7066,221
1686628800000,0.7542,0.7542,0.7542,0.7542,100
1686888000000,0.69,0.7975,0.6701,0.760548,12289
1687406400000,0.78,0.78,0.78,0.78,300
1687492800000,0.78,0.78,0.77,0.78,1456
1687924800000,0.79,0.79,0.79,0.79,100
1688011200000,0.7972,0.7975,0.75,0.75,883
1688616000000,0.7975,0.7975,0.6701,0.7705,1769
1689220800000,0.75,0.9537,0.75,0.8,18686
1689307200000,0.9003,0.9003,0.7088,0.75,2825
1689566400000,0.7983,0.7983,0.7983,0.7983,1026
1689652800000,0.8,0.8,0.7398,0.7398,735
1689739200000,0.76,0.8275,0.682,0.79,18402
1690171200000,0.7874,0.7874,0.7874,0.7874,450
1690257600000,0.749899,0.749899,0.749899,0.749899,100
1690430400000,0.7337,0.7337,0.7337,0.7337,418
1690516800000,0.6925,0.6999,0.6925,0.6999,2431
1690776000000,0.7895,0.7895,0.7,0.7756,7967
1691035200000,0.7272,0.7272,0.67,0.7,2115
1691467200000,0.7895,0.7974,0.7895,0.7974,552
1692331200000,0.6768,0.749951,0.6701,0.7002,14221
1692676800000,0.7821,0.79,0.7821,0.79,1679
1692763200000,0.775,0.79,0.775,0.79,540
1692849600000,0.7798,0.78,0.7501,0.78,4768
1693886400000,0.75,0.75,0.7401,0.7499,12207
1693972800000,0.77,0.77,0.76,0.76,1766
1694145600000,0.74,0.74,0.74,0.74,2000
1694404800000,0.749899,0.749899,0.749899,0.749899,100
1694577600000,0.7499,0.75,0.707,0.72,15921
1694664000000,0.73,0.73,0.7,0.7,13200
1695096000000,0.7,0.7,0.7,0.7,949
1695182400000,0.7,0.7498,0.7,0.7498,1061
1695268800000,0.7,0.7,0.7,0.7,1271
1695355200000,0.7,0.7,0.7,0.7,4479
