timestamp,open,high,low,close,volume
1712030400000,3.6,3.8,2.9,3.01,965725
1712116800000,3.15,3.615,3.15,3.42,236346
1712203200000,3.59,4.0799,3.59,4.02,203952
1712289600000,3.77,4.04,3.75,3.91,103252
1712548800000,3.99,4.04,3.578,3.81,97967
1712635200000,4.01,4.66,4.0,4.5,550787
1712721600000,4.5,4.5999,4.2,4.25,222336
1712808000000,4.34,4.39,3.89,4.02,131695
1712894400000,4.0,4.05,3.6867,3.7,79570
1713153600000,3.65,3.92,3.33,3.4,146575
1713240000000,3.46,3.8799,3.395,3.77,191258
1713326400000,4.04,4.58,4.0257,4.36,352183
1713412800000,4.41,4.41,3.93,4.06,74855
1713499200000,4.07,4.5,4.0495,4.254,92663
1713758400000,4.41,4.525,4.1601,4.33,136955
1713844800000,4.22,4.49,4.18,4.36,44229
1713931200000,4.28,4.45,4.21,4.44,30859
1714017600000,4.34,4.55,4.33,4.5,129624
1714104000000,4.35,4.5,4.35,4.35,25131
1714363200000,4.31,4.48,4.29,4.38,23653
1714449600000,4.42,4.47,4.2,4.22,32922
1714536000000,4.1701,4.325,4.1701,4.27,6721
1714622400000,4.35,4.35,3.83,3.9651,63866
1714708800000,3.99,4.13,3.91,4.08,38284
1714968000000,4.14,4.26,3.88,4.02,25948
1715054400000,3.92,4.03,3.9,3.95,4970
1715140800000,4.0,4.17,3.9502,4.09,14437
1715227200000,4.12,4.17,3.9705,4.02,17983
1715313600000,4.035,4.43,3.9791,4.23,34570
1715572800000,4.01,4.26,3.92,4.2,71726
1715659200000,4.3,4.3,3.982,4.11,27900
1715745600000,4.24,4.24,3.98,4.02,32833
1715832000000,4.02,4.14,3.89,3.92,47025
1715918400000,4.02,4.09,3.8,3.8,39534
1716177600000,3.8925,4.0,3.75,3.78,22169
1716264000000,3.7634,4.05,3.7634,4.05,47592
1716350400000,3.91,3.95,3.68,3.88,27039
1716436800000,3.83,3.95,3.78,3.78,11367
1716523200000,3.8,3.85,3.7,3.71,23388
1716868800000,3.6801,3.7737,3.66,3.66,14934
1716955200000,3.66,3.75,3.63,3.63,4096
1717041600000,3.64,3.737,3.64,3.65,4108
1717128000000,3.74,3.74,3.54,3.54,6232
1717387200000,3.54,3.74,3.54,3.69,14195
1717473600000,3.7,3.8,3.7,3.775,14212
1717560000000,3.7001,3.8,3.5644,3.8,5763
1717646400000,3.79,3.8,3.53,3.56,36872
1717732800000,3.74,3.74,3.53,3.58,7840
1717992000000,3.61,3.63,3.507,3.507,15524
