timestamp,open,high,low,close,volume
1691035200000,7.0,7.9799,6.29,7.42,670685.0
1691121600000,6.0,6.87,6.0,6.01,330924.0
1691380800000,5.41,6.5184,5.4,6.25,85693.0
1691467200000,5.69,7.22,5.69,7.08,177844.0
1691553600000,7.1,7.3,6.75,6.88,130944.0
1691640000000,6.91,7.057,6.6,6.88,44262.0
1691726400000,6.97,6.97,6.5501,6.83,64248.0
1691985600000,6.65,6.7,6.41,6.42,42274.0
1692072000000,6.62,6.95,6.22,6.27,77643.0
1692158400000,6.35,6.7799,6.1,6.58,51211.0
1692244800000,6.46,6.8349,6.3,6.5,23995.0
1692331200000,6.23,6.5,6.1,6.26,15976.0
1692590400000,6.35,6.5,6.35,6.4,13532.0
1692676800000,6.4,6.4,6.2101,6.23,23539.0
1692763200000,6.5,6.5,6.05,6.37,26923.0
1692849600000,6.48,6.5504,6.26,6.3,31690.0
1692936000000,6.15,6.55,6.15,6.38,37161.0
1693195200000,6.34,6.6497,6.26,6.4,29472.0
1693281600000,6.66,6.66,6.26,6.385,32772.0
1693368000000,6.42,6.77,6.2063,6.385,59087.0
1693454400000,6.41,6.558,6.2502,6.2736,8903.0
1693540800000,6.29,6.38,6.1605,6.18,5545.0
1693886400000,6.38,6.59,6.1,6.14,60112.0
1693972800000,6.15,6.15,5.8,5.8302,13431.0
1694059200000,5.92,6.04,5.87,6.04,34114.0
1694145600000,5.89,6.4,5.89,6.1,6796.0
1694404800000,6.0584,6.06,5.95,5.95,13959.0
1694491200000,6.0,6.24,5.9,5.9,13930.0
1694577600000,5.7,5.7,3.9001,4.1899,63559.0
1694664000000,4.71,4.71,3.42,3.55,33638.0
1694750400000,3.6,3.8099,3.0,3.17,20690.0
1695009600000,3.82,6.48,3.5114,4.4,2979025.0
1695096000000,4.56,4.77,4.2,4.2185,141780.0
1695182400000,4.18,4.3529,3.92,4.18,69890.0
1695268800000,4.18,4.72,4.05,4.49,41899.0
1695355200000,4.4,5.3,4.06,4.4101,81513.0
1695614400000,4.6,5.21,4.42,4.49,66807.0
1695700800000,4.5,5.09,4.35,4.35,79028.0
1695787200000,4.35,4.94,4.35,4.65,90519.0
1695873600000,4.6114,4.99,4.51,4.785,12391.0
1695960000000,4.73,4.98,4.65,4.65,6573.0
1696219200000,4.815,4.815,4.67,4.67,3347.0
1696305600000,4.65,4.8896,4.53,4.7,12678.0
1696392000000,4.7547,4.98,4.5799,4.67,7420.0
1696478400000,4.77,4.96,4.5101,4.7,7050.0
1696564800000,4.76,4.89,4.54,4.76,17854.0
1696824000000,4.88,4.91,4.08,4.33,29113.0
1696910400000,4.17,4.36,3.84,3.84,27012.0
1696996800000,3.9761,4.0,3.405,3.42,12879.0
1697083200000,3.26,3.3,2.8,2.96,38611.0
1697169600000,2.97,3.0082,2.76,2.87,10130.0
1697428800000,2.79,2.96,2.78,2.87,18760.0
1697515200000,3.15,3.16,3.045,3.16,3601.0
1697601600000,3.19,3.2812,3.04,3.04,2469.0
1697688000000,3.125,3.34,3.125,3.3,1350.0
1697774400000,3.07,3.4515,3.0,3.12,90263.0
1698033600000,3.19,3.4,2.715,2.72,48412.0
1698120000000,2.93,2.93,2.5,2.5,6764.0
1698206400000,2.39,2.45,2.2,2.23,3481.0
1698292800000,2.23,2.7499,2.23,2.35,6590.0
1698379200000,2.34,2.34,2.25,2.29,2925.0
1698638400000,2.61,2.61,2.04,2.06,7836.0
1698724800000,2.075,2.09,1.94,1.94,5258.0
1698811200000,1.76,1.76,1.51,1.51,4303.0
1698897600000,1.5301,1.5301,1.48,1.49,4844.0
1698984000000,1.5412,1.5412,1.48,1.51,3288.0
1699246800000,1.45,1.5,1.4202,1.4202,2993.0
1699333200000,1.43,1.51,1.43,1.495,3651.0
1699419600000,1.54,1.85,1.4983,1.5784,70830.0
1699506000000,1.63,1.697,1.435,1.48,16322.0
1699592400000,1.42,1.55,1.33,1.51,37056.0
1699851600000,1.51,1.71,1.4,1.5312,17294.0
1699938000000,1.68,1.8002,1.6601,1.71,15924.0
1700024400000,1.7211,3.23,1.7211,2.95,1542385.0
1700110800000,2.98,3.44,2.67,3.38,132570.0
1700197200000,3.44,3.7999,2.93,3.32,85391.0
1700456400000,3.9,6.4,3.7013,4.65,4275760.0
1700542800000,4.3,5.04,3.9,3.9,313820.0
1700629200000,3.79,4.14,2.92,3.195,152917.0
1700802000000,3.03,3.44,2.9728,3.2696,51737.0
1701061200000,3.49,4.45,3.49,3.905,171975.0
1701147600000,4.0,4.0442,3.3307,3.63,78725.0
1701234000000,4.0,4.11,3.5,3.7,116825.0
