timestamp,open,high,low,close,volume
1262595600000,7.5707,7.5886,7.5707,7.5886,8400.0
1262599200000,7.595,7.6,7.5921,7.5921,11200.0
1262602800000,7.5964,7.5964,7.5964,7.5964,2800.0
1262606400000,7.5818,7.6204,7.5818,7.6071,562912.0
1262610000000,7.6054,7.6104,7.5871,7.6071,5141136.0
1262613600000,7.6054,7.6586,7.5261,7.6179,121479512.0
1262617200000,7.62,7.6364,7.585,7.6196,105175448.0
1262620800000,7.6193,7.6414,7.6086,7.6371,53655336.0
1262624400000,7.6379,7.6529,7.625,7.6446,41861288.0
1262628000000,7.6443,7.6475,7.6257,7.6289,33376336.0
1262631600000,7.6289,7.6532,7.6264,7.6425,37378516.0
1262635200000,7.6421,7.6607,7.6386,7.6493,78596112.0
1262638800000,7.6507,7.6725,7.6312,7.6675,4534124.0
1262642400000,7.665,7.6729,7.6629,7.6729,734580.0
1262646000000,7.6729,7.6746,7.6432,7.6746,1015812.0
1262649600000,7.6732,7.6786,7.6643,7.6654,1098664.0
1262685600000,7.6911,7.6911,7.6768,7.6768,28000.0
1262689200000,7.675,7.6768,7.6714,7.675,44800.0
1262692800000,7.67,7.6882,7.6686,7.6786,509488.0
1262696400000,7.6786,7.7036,7.6354,7.645,8624168.0
1262700000000,7.6443,7.6996,7.6225,7.6871,127852340.0
1262703600000,7.6864,7.6986,7.6589,7.6723,101031700.0
1262707200000,7.6721,7.6868,7.6511,7.6821,56487396.0
1262710800000,7.6829,7.69,7.6618,7.6757,109579148.0
1262714400000,7.6754,7.6846,7.6575,7.6634,37897692.0
1262718000000,7.6636,7.6718,7.6161,7.6575,90920872.0
1262721600000,7.6571,7.6664,7.6396,7.6564,55998656.0
1262725200000,7.655,7.683,7.6539,7.6575,1839544.0
1262728800000,7.6586,7.6671,7.6586,7.6595,665868.0
1262732400000,7.6595,7.6636,7.6593,7.6614,185360.0
1262736000000,7.6593,7.6632,7.6571,7.6593,185164.0
1262768400000,7.6668,7.675,7.6668,7.675,14000.0
