timestamp,open,high,low,close,volume
1676389200000,0.25,0.25,0.25,0.25,2200
1676391900000,0.35,0.35,0.35,0.35,500
1676406000000,0.32,0.32,0.32,0.32,100
1676406600000,0.3199,0.3199,0.3199,0.3199,300
1676406900000,0.3198,0.3198,0.3198,0.3198,100
1676471400000,0.34,0.34,0.34,0.34,200
1676471700000,0.3,0.3,0.3,0.3,500
1676472000000,0.278039,0.278039,0.278039,0.278039,1200
1676472300000,0.3,0.3,0.3,0.3,650
1676472900000,0.31,0.31,0.31,0.31,900
1676473800000,0.3,0.3,0.3,0.3,129
1676477400000,0.33,0.33,0.33,0.33,500
1676477700000,0.33,0.33,0.33,0.33,2500
1676480100000,0.3399,0.3399,0.3399,0.3399,1600
1676487000000,0.3101,0.3101,0.31,0.31,3139
1676487600000,0.33,0.33,0.33,0.33,100
1676488200000,0.33,0.33,0.33,0.33,500
1676489100000,0.33,0.33,0.33,0.33,200
1676493600000,0.33,0.33,0.33,0.33,7500
1676494500000,0.300399,0.3139,0.300101,0.300101,1575
1676495100000,0.33,0.33,0.33,0.33,100
1676541600000,0.3299,0.3833,0.3299,0.3821,22622
1676541900000,0.367,0.3798,0.367,0.3798,1222
1676542200000,0.3798,0.3798,0.3798,0.3798,168
1676542500000,0.34,0.34,0.34,0.34,771
1676542800000,0.37,0.37,0.37,0.37,376
1676543100000,0.37,0.37,0.37,0.37,200
1676543700000,0.28,0.28,0.28,0.28,1655
1676544300000,0.2811,0.2811,0.2811,0.2811,145
1676547000000,0.35,0.35,0.35,0.35,639
1676548500000,0.34,0.34,0.34,0.34,314
1676548800000,0.3486,0.3486,0.34,0.34,1140
1676549700000,0.35,0.35,0.35,0.35,300
1676552400000,0.3889,0.3889,0.3889,0.3889,1000
1676557800000,0.3013,0.335,0.3013,0.335,1104
1676558100000,0.335,0.335,0.33,0.33,3000
1676558400000,0.3388,0.34,0.33,0.34,33502
1676558700000,0.34,0.36,0.34,0.34,170645
1676559000000,0.34,0.34,0.32,0.3226,106350
1676559300000,0.32,0.3201,0.32,0.32,2101
1676559600000,0.32,0.3399,0.32,0.3397,129552
1676559900000,0.34,0.35,0.34,0.3437,8854
1676560200000,0.3202,0.36,0.3201,0.3451,22255
1676560500000,0.3468,0.35,0.3201,0.32905,42341
1676560800000,0.32905,0.32905,0.3201,0.3201,50480
1676561100000,0.33,0.33,0.3299,0.33,11064
1676561400000,0.33,0.33,0.33,0.33,100
1676561700000,0.33,0.33,0.33,0.33,500
1676562000000,0.3202,0.338,0.3201,0.3301,5400
1676562300000,0.3211,0.338,0.3211,0.334,2584
1676562600000,0.33,0.33,0.32619,0.33,5651
1676562900000,0.3211,0.348,0.3201,0.33,52757
1676563200000,0.339,0.35,0.3308,0.3499,102729
1676563500000,0.3499,0.369,0.34,0.3679,90698
1676563800000,0.3689,0.382,0.352,0.352,72529
1676564100000,0.3739,0.389,0.36,0.36,104652
1676564400000,0.36,0.44,0.36,0.4146,124716
1676564700000,0.4099,0.4399,0.3691,0.3691,228633
1676565000000,0.382,0.3999,0.363,0.38,106188
1676565300000,0.385,0.4199,0.385,0.4098,85184
1676565600000,0.4064,0.4167,0.39,0.395,36856
1676565900000,0.39735,0.3998,0.38,0.389,85480
1676566200000,0.3999,0.3999,0.388,0.3894,12857
1676566500000,0.3987,0.3987,0.38,0.38,35298
1676566800000,0.389799,0.4,0.38,0.3948,50626
1676567100000,0.395,0.4,0.3913,0.3999,32580
1676567400000,0.3999,0.415,0.3998,0.415,52187
1676567700000,0.414,0.415,0.4,0.4001,15532
1676568000000,0.4,0.4,0.382,0.3999,9667
1676568300000,0.39,0.4,0.385,0.4,7244
1676568600000,0.3998,0.4,0.385101,0.4,14300
1676568900000,0.4,0.4,0.385,0.399,1742
1676569200000,0.39,0.3989,0.3851,0.3989,10890
1676569500000,0.395,0.395,0.37,0.38,36109
1676569800000,0.365,0.38,0.3622,0.378,14812
1676570100000,0.377,0.38,0.36,0.38,22588
1676570400000,0.365,0.38,0.365,0.378,5144
1676570700000,0.3748,0.3894,0.3748,0.38,21489
1676571000000,0.38,0.38995,0.37,0.379,2981
1676571300000,0.38,0.388,0.365,0.365,15652
1676571600000,0.3656,0.3656,0.365,0.365,300
1676571900000,0.3658,0.388,0.3653,0.3653,3583
1676572200000,0.3653,0.3654,0.3653,0.3653,900
1676572500000,0.37,0.385,0.37,0.385,5887
1676572800000,0.3851,0.388,0.37,0.385,4329
1676573100000,0.385,0.387,0.375,0.387,11269
1676573400000,0.387,0.387,0.38,0.3825,9636
1676573700000,0.3825,0.3825,0.38,0.38,903
1676574000000,0.38,0.3824,0.375,0.375,3165
1676574300000,0.375,0.3824,0.375,0.375,9055
1676574600000,0.37,0.382,0.37,0.3811,2157
1676574900000,0.37,0.37,0.37,0.37,215
1676575200000,0.38,0.3825,0.38,0.38,8405
1676575500000,0.37,0.3898,0.37,0.3849,79050
1676575800000,0.38,0.4051,0.38,0.3917,99933
1676576100000,0.38685,0.4089,0.38685,0.4,34168
1676576400000,0.3997,0.4,0.3997,0.3998,2214
1676576700000,0.3999,0.4,0.39,0.397,30532
1676577000000,0.3918,0.3989,0.3918,0.3986,8924
1676577300000,0.3945,0.3989,0.3945,0.3989,1700
1676577600000,0.398,0.398,0.39,0.397,4198
1676577900000,0.39,0.397,0.39,0.396,8596
1676578200000,0.3953,0.396,0.3816,0.3855,29659
1676578500000,0.3855,0.414601,0.3849,0.414601,119108
1676578800000,0.419,0.4699,0.4151,0.4699,191892
1676579100000,0.455,0.47,0.4495,0.46,55461
1676579400000,0.4599,0.49,0.425,0.44295,203277
1676579700000,0.4381,0.45,0.4277,0.45,46053
1676580000000,0.455,0.463,0.4399,0.463,110848
1676580300000,0.463,0.4897,0.45,0.4888,54544
1676580600000,0.4878,0.4896,0.4651,0.4697,25961
1676580900000,0.47,0.4768,0.45,0.4768,30204
1676581200000,0.47,0.489,0.47,0.489,6351
1676581500000,0.489,0.489,0.47,0.47,9700
1676581800000,0.47,0.47,0.47,0.47,2000
1676582100000,0.489,0.499,0.489,0.499,9736
1676582400000,0.49,0.49,0.471,0.471,270
1676582700000,0.4768,0.479,0.4768,0.479,1100
1676583000000,0.49,0.49,0.4889,0.49,10952
1676583300000,0.49,0.61,0.49,0.52,12632
1676583600000,0.52,0.559,0.52,0.55,9674
1676584500000,0.56,0.6,0.56,0.56,2600
1676584800000,0.56,0.56,0.52,0.52,2000
1676585100000,0.59,0.59,0.54,0.54,5800
1676585400000,0.54,0.54,0.54,0.54,1767
1676585700000,0.5201,0.54,0.5201,0.54,700
1676586000000,0.54,0.54,0.54,0.54,500
1676586300000,0.54,0.54,0.54,0.54,1900
1676587500000,0.56,0.56,0.56,0.56,2000
1676587800000,0.52,0.52,0.52,0.52,1300
